Record Length,20480










Source,CH1,CH2
Second,Volt,Volt
-0.01981199844,2.56000,2.44000
-0.01981000000,2.56000,2.44000
-0.01980800000,2.60000,2.44000
-0.01980600000,2.60000,2.48000
-0.01980400156,2.56000,2.44000
-0.01980200000,2.64000,2.52000
-0.01980000000,2.56000,2.44000
-0.01979800000,2.56000,2.44000
-0.01979600156,2.60000,2.44000
-0.01979400000,2.56000,2.44000
-0.01979200000,2.64000,2.48000
-0.01979000000,2.56000,2.44000
-0.01978800000,2.56000,2.44000
-0.01978600000,2.60000,2.36000
-0.01978400000,2.56000,2.44000
-0.01978200000,2.60000,2.48000
-0.01978000000,2.56000,2.44000
-0.01977800000,2.56000,2.44000
-0.01977600000,2.56000,2.44000
-0.01977400000,2.52000,2.44000
-0.01977200000,2.60000,2.44000
-0.01977000000,2.60000,2.44000
-0.01976800000,2.56000,2.40000
-0.01976599844,2.56000,2.44000
-0.01976400000,2.56000,2.44000
-0.01976200000,2.56000,2.44000
-0.01976000000,2.60000,2.44000
-0.01975799844,2.60000,2.44000
-0.01975600000,2.60000,2.44000
-0.01975400000,2.56000,2.44000
-0.01975200000,2.52000,2.40000
-0.01974999844,2.56000,2.44000
-0.01974800000,2.56000,2.44000
-0.01974600000,2.60000,2.48000
-0.01974400000,2.60000,2.44000
-0.01974200156,2.60000,2.44000
-0.01974000000,2.56000,2.48000
-0.01973800000,2.56000,2.40000
-0.01973600000,2.60000,2.44000
-0.01973400156,2.56000,2.44000
-0.01973200000,2.56000,2.44000
-0.01973000000,2.56000,2.44000
-0.01972800000,2.60000,2.44000
-0.01972600000,2.64000,2.48000
-0.01972400000,2.56000,2.44000
-0.01972200000,2.60000,2.48000
-0.01972000000,2.60000,2.48000
-0.01971800000,2.32000,2.20000
-0.01971600000,2.56000,2.44000
-0.01971400000,2.56000,2.44000
-0.01971200000,2.60000,2.48000
-0.01971000000,2.56000,2.44000
-0.01970800000,2.56000,2.44000
-0.01970600000,2.56000,2.44000
-0.01970399844,2.56000,2.44000
-0.01970200000,2.56000,2.44000
-0.01970000000,2.56000,2.44000
-0.01969800000,2.56000,2.44000
-0.01969599844,2.56000,2.44000
-0.01969400000,2.56000,2.44000
-0.01969200000,2.56000,2.44000
-0.01969000000,2.60000,2.44000
-0.01968799844,2.56000,2.44000
-0.01968600000,2.56000,2.44000
-0.01968400000,2.56000,2.44000
